dimension,dimension_display,model_id,model,n,correct,accuracy_pct,ci_low_pct,ci_high_pct,ci_width_pct_points,bootstrap_degenerate,n_invalid_extraction,bootstrap_unit,bootstrap_method,confidence_level,bootstrap_reps,base_seed
event_existence,Exist,gpt-5.5,GPT-5.5,219,151,68.94977168949772,62.55707762557078,74.88584474885845,12.328767123287665,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,seed-2.0-lite,Seed-2.0-Lite,219,126,57.534246575342465,51.141552511415526,63.926940639269404,12.785388127853881,False,1,QA item,percentile,0.95,20000,20260724
event_existence,Exist,kimi-k2.6,Kimi-K2.6,219,124,56.62100456621004,50.2283105022831,63.013698630136986,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,219,123,56.16438356164384,49.77168949771689,62.55707762557078,12.785388127853887,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,glm-5v-turbo,GLM-5V-Turbo,219,114,52.054794520547944,45.662100456621005,58.9041095890411,13.242009132420096,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,video-llava-7b,Video-LLaVA-7B,219,112,51.141552511415526,44.29223744292237,57.534246575342465,13.24200913242009,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,llava-video-72b,LLaVA-Video-72B,219,108,49.31506849315068,42.922374429223744,55.70776255707762,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,grok-4.3,Grok-4.3,219,107,48.858447488584474,42.45433789954339,55.70776255707762,13.253424657534236,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,mimo-v2-omni,Mimo-V2-Omni,219,104,47.48858447488584,40.63926940639269,54.337899543378995,13.698630136986306,False,13,QA item,percentile,0.95,20000,20260724
event_existence,Exist,qwen2.5-vl-72b,Qwen2.5-VL-72B,219,104,47.48858447488584,40.63926940639269,54.337899543378995,13.698630136986306,False,2,QA item,percentile,0.95,20000,20260724
event_existence,Exist,gpt-5.4-mini,GPT-5.4-mini,219,101,46.118721461187214,39.726027397260275,52.51141552511416,12.785388127853887,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,videochat-r1.5-7b,VideoChat-R1.5-7B,219,99,45.20547945205479,38.81278538812785,51.598173515981735,12.785388127853887,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,internvl3-8b,InternVL3-8B,219,93,42.465753424657535,36.07305936073059,48.858447488584474,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,qwen2.5-vl-7b,Qwen2.5-VL-7B,219,89,40.63926940639269,34.24657534246575,47.03196347031963,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,219,83,37.89954337899543,31.506849315068493,44.29223744292237,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,videollama3-7b,VideoLLaMA3-7B,219,79,36.07305936073059,29.68036529680365,42.465753424657535,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,minicpm-v-2.6,MiniCPM-V-2.6,219,78,35.61643835616438,29.22374429223744,42.00913242009132,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,qwen3-vl-8b,Qwen3-VL-8B,219,78,35.61643835616438,29.22374429223744,42.00913242009132,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,219,78,35.61643835616438,29.22374429223744,42.00913242009132,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,video-r1-7b,Video-R1-7B,219,75,34.24657534246575,27.85388127853881,40.63926940639269,12.785388127853881,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,video-chatgpt-7b,Video-ChatGPT-7B,219,73,33.33333333333333,27.397260273972602,39.726027397260275,12.32876712328767,False,90,QA item,percentile,0.95,20000,20260724
event_existence,Exist,llava-video-7b,LLaVA-Video-7B,219,70,31.963470319634702,26.027397260273972,38.35616438356164,12.32876712328767,False,0,QA item,percentile,0.95,20000,20260724
event_existence,Exist,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,219,55,25.11415525114155,19.63470319634703,31.05022831050228,11.415525114155251,False,0,QA item,percentile,0.95,20000,20260724
event_count,Count,videollama3-7b,VideoLLaMA3-7B,300,101,33.666666666666664,28.333333333333332,39.0,10.666666666666668,False,4,QA item,percentile,0.95,20000,20260724
event_count,Count,video-chatgpt-7b,Video-ChatGPT-7B,300,92,30.666666666666664,25.666666666666664,36.0,10.333333333333334,False,0,QA item,percentile,0.95,20000,20260724
event_count,Count,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,300,85,28.333333333333332,23.333333333333332,33.34166666666594,10.008333333332603,False,52,QA item,percentile,0.95,20000,20260724
event_count,Count,llava-video-7b,LLaVA-Video-7B,300,79,26.333333333333332,21.333333333333336,31.333333333333336,10.0,False,114,QA item,percentile,0.95,20000,20260724
event_count,Count,seed-2.0-lite,Seed-2.0-Lite,300,73,24.333333333333336,19.666666666666664,28.999999999999996,9.333333333333332,False,93,QA item,percentile,0.95,20000,20260724
event_count,Count,gpt-5.4-mini,GPT-5.4-mini,300,64,21.333333333333336,16.666666666666664,26.0,9.333333333333336,False,81,QA item,percentile,0.95,20000,20260724
event_count,Count,grok-4.3,Grok-4.3,300,59,19.666666666666664,15.333333333333332,24.333333333333336,9.000000000000002,False,135,QA item,percentile,0.95,20000,20260724
event_count,Count,kimi-k2.6,Kimi-K2.6,300,58,19.333333333333332,15.0,24.0,9.0,False,160,QA item,percentile,0.95,20000,20260724
event_count,Count,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,300,56,18.666666666666668,14.333333333333334,23.333333333333332,9.0,False,145,QA item,percentile,0.95,20000,20260724
