format,format_display,model_id,model,n,correct,accuracy_pct,ci_low_pct,ci_high_pct,ci_width_pct_points,bootstrap_degenerate,n_invalid_extraction,bootstrap_unit,bootstrap_method,confidence_level,bootstrap_reps,base_seed
mcq_4,MCQ,gpt-5.5,GPT-5.5,1355,618,45.608856088560884,42.87822878228783,48.26568265682657,5.387453874538744,False,2,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,kimi-k2.6,Kimi-K2.6,1355,607,44.7970479704797,42.140221402214024,47.45387453874539,5.313653136531365,False,7,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,1355,606,44.723247232472325,42.066420664206646,47.38007380073801,5.313653136531365,False,6,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,grok-4.3,Grok-4.3,1355,603,44.50184501845019,41.845018450184504,47.15867158671587,5.313653136531365,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,seed-2.0-lite,Seed-2.0-Lite,1355,566,41.77121771217712,39.18819188191882,44.428044280442805,5.239852398523981,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,glm-5v-turbo,GLM-5V-Turbo,1355,497,36.678966789667896,34.095940959409596,39.261992619926204,5.166051660516607,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,qwen2.5-vl-72b,Qwen2.5-VL-72B,1355,479,35.35055350553505,32.84132841328413,37.93357933579336,5.092250922509228,False,5,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,1355,478,35.276752767527675,32.693726937269375,37.859778597785976,5.166051660516602,False,4,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,1355,449,33.13653136531365,30.627306273062732,35.71955719557195,5.092250922509223,False,2,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,mimo-v2-omni,Mimo-V2-Omni,1355,427,31.512915129151292,29.00369003690037,34.02214022140221,5.018450184501844,False,134,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,gpt-5.4-mini,GPT-5.4-mini,1355,420,30.996309963099634,28.56088560885609,33.43173431734318,4.8708487084870855,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,internvl3-8b,InternVL3-8B,1355,386,28.48708487084871,26.051660516605168,30.92250922509225,4.87084870848708,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,videochat-r1.5-7b,VideoChat-R1.5-7B,1355,380,28.044280442804425,25.682656826568266,30.40590405904059,4.723247232472322,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,qwen2.5-vl-7b,Qwen2.5-VL-7B,1355,367,27.084870848708487,24.723247232472325,29.44649446494465,4.723247232472325,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,llava-video-72b,LLaVA-Video-72B,1355,350,25.830258302583026,23.542435424354245,28.11808118081181,4.5756457564575665,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,video-llava-7b,Video-LLaVA-7B,1355,341,25.166051660516604,22.878228782287824,27.45387453874539,4.575645756457564,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,video-r1-7b,Video-R1-7B,1355,339,25.018450184501845,22.804428044280442,27.380073800738007,4.5756457564575665,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,llava-video-7b,LLaVA-Video-7B,1355,333,24.575645756457565,22.287822878228784,26.86346863468635,4.5756457564575665,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,videollama3-7b,VideoLLaMA3-7B,1355,318,23.468634686346864,21.25461254612546,25.682656826568266,4.428044280442806,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,minicpm-v-2.6,MiniCPM-V-2.6,1355,305,22.509225092250922,20.29520295202952,24.723247232472325,4.428044280442806,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,qwen3-vl-8b,Qwen3-VL-8B,1355,296,21.845018450184504,19.70479704797048,24.059040590405903,4.354243542435424,False,0,QA item,percentile,0.95,20000,20260724
