metric,model_id,model,n,correct,accuracy_pct,ci_low_pct,ci_high_pct,ci_width_pct_points,bootstrap_degenerate,n_invalid_extraction,bootstrap_unit,bootstrap_method,confidence_level,bootstrap_reps,base_seed
HDA,grok-4.3,Grok-4.3,493,265,53.7525354969574,49.290060851926974,58.21501014198783,8.924949290060857,False,0,QA item,percentile,0.95,20000,20260724
HDA,kimi-k2.6,Kimi-K2.6,493,261,52.94117647058824,48.478701825557806,57.40365111561866,8.924949290060852,False,3,QA item,percentile,0.95,20000,20260724
HDA,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,493,235,47.66734279918864,43.40770791075051,51.926977687626774,8.519269776876264,False,4,QA item,percentile,0.95,20000,20260724
HDA,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,493,216,43.81338742393509,39.553752535496955,48.275862068965516,8.722109533468563,False,1,QA item,percentile,0.95,20000,20260724
HDA,gpt-5.5,GPT-5.5,493,211,42.799188640973625,38.5395537525355,47.26166328600406,8.722109533468558,False,0,QA item,percentile,0.95,20000,20260724
HDA,qwen2.5-vl-72b,Qwen2.5-VL-72B,493,210,42.59634888438134,38.33671399594321,47.05882352941176,8.722109533468558,False,2,QA item,percentile,0.95,20000,20260724
HDA,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,493,203,41.17647058823529,36.91683569979716,45.63894523326572,8.722109533468558,False,2,QA item,percentile,0.95,20000,20260724
HDA,seed-2.0-lite,Seed-2.0-Lite,493,203,41.17647058823529,36.91683569979716,45.436105476673426,8.519269776876264,False,0,QA item,percentile,0.95,20000,20260724
HDA,qwen2.5-vl-7b,Qwen2.5-VL-7B,493,174,35.294117647058826,31.03448275862069,39.553752535496955,8.519269776876264,False,0,QA item,percentile,0.95,20000,20260724
HDA,mimo-v2-omni,Mimo-V2-Omni,493,173,35.09127789046653,30.831643002028397,39.350912778904664,8.519269776876271,False,43,QA item,percentile,0.95,20000,20260724
HDA,glm-5v-turbo,GLM-5V-Turbo,493,171,34.68559837728195,30.425963488843816,38.94523326572008,8.519269776876264,False,0,QA item,percentile,0.95,20000,20260724
HDA,videochat-r1.5-7b,VideoChat-R1.5-7B,493,163,33.062880324543606,29.006085192697768,37.32251521298174,8.316430020283978,False,0,QA item,percentile,0.95,20000,20260724
HDA,video-r1-7b,Video-R1-7B,493,160,32.454361054766736,28.397565922920894,36.511156186612574,8.113590263691684,False,0,QA item,percentile,0.95,20000,20260724
HDA,gpt-5.4-mini,GPT-5.4-mini,493,140,28.397565922920894,24.543610547667345,32.454361054766736,7.91075050709939,False,0,QA item,percentile,0.95,20000,20260724
HDA,internvl3-8b,InternVL3-8B,493,137,27.789046653144016,23.935091277890468,31.845841784989858,7.910750507099393,False,0,QA item,percentile,0.95,20000,20260724
HDA,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,493,137,27.789046653144016,23.732251521298174,31.845841784989858,8.113590263691684,False,0,QA item,percentile,0.95,20000,20260724
HDA,video-llava-7b,Video-LLaVA-7B,493,126,25.557809330628807,21.703853955375255,29.411764705882355,7.707910750507099,False,0,QA item,percentile,0.95,20000,20260724
HDA,qwen3-vl-8b,Qwen3-VL-8B,493,125,25.354969574036513,21.50101419878296,29.20892494929006,7.707910750507099,False,0,QA item,percentile,0.95,20000,20260724
HDA,videollama3-7b,VideoLLaMA3-7B,493,122,24.746450304259636,21.095334685598377,28.600405679513187,7.505070993914808,False,0,QA item,percentile,0.95,20000,20260724
HDA,llava-video-72b,LLaVA-Video-72B,493,121,24.543610547667345,20.892494929006087,28.397565922920894,7.5050709939148055,False,0,QA item,percentile,0.95,20000,20260724
HDA,minicpm-v-2.6,MiniCPM-V-2.6,493,110,22.31237322515213,18.66125760649087,25.963488843813387,7.302231237322515,False,0,QA item,percentile,0.95,20000,20260724
HDA,llava-video-7b,LLaVA-Video-7B,493,107,21.703853955375255,18.255578093306287,25.354969574036513,7.099391480730224,False,0,QA item,percentile,0.95,20000,20260724
HDA,video-chatgpt-7b,Video-ChatGPT-7B,493,61,12.373225152129818,9.533468559837727,15.415821501014198,5.88235294117647,False,209,QA item,percentile,0.95,20000,20260724
HDA-Subject,kimi-k2.6,Kimi-K2.6,208,126,60.57692307692307,53.84615384615385,67.3076923076923,13.461538461538469,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,grok-4.3,Grok-4.3,208,124,59.61538461538461,52.88461538461539,66.34615384615384,13.461538461538458,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,208,104,50.0,43.269230769230774,56.730769230769226,13.461538461538458,False,2,QA item,percentile,0.95,20000,20260724
HDA-Subject,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,208,101,48.55769230769231,41.82692307692308,55.28846153846154,13.461538461538463,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,208,89,42.78846153846153,36.05769230769231,49.519230769230774,13.461538461538463,False,1,QA item,percentile,0.95,20000,20260724
HDA-Subject,mimo-v2-omni,Mimo-V2-Omni,208,85,40.86538461538461,34.13461538461539,47.59615384615385,13.461538461538458,False,11,QA item,percentile,0.95,20000,20260724
HDA-Subject,qwen2.5-vl-72b,Qwen2.5-VL-72B,208,85,40.86538461538461,34.13461538461539,47.59615384615385,13.461538461538458,False,1,QA item,percentile,0.95,20000,20260724
HDA-Subject,qwen2.5-vl-7b,Qwen2.5-VL-7B,208,70,33.65384615384615,27.403846153846157,40.38461538461539,12.98076923076923,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,208,69,33.17307692307692,26.923076923076923,39.90384615384615,12.980769230769235,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,seed-2.0-lite,Seed-2.0-Lite,208,68,32.69230769230769,26.442307692307693,38.94230769230769,12.5,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,gpt-5.5,GPT-5.5,208,66,31.73076923076923,25.48076923076923,37.980769230769226,12.5,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,videochat-r1.5-7b,VideoChat-R1.5-7B,208,64,30.76923076923077,24.519230769230766,37.019230769230774,12.500000000000004,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,video-r1-7b,Video-R1-7B,208,58,27.884615384615387,22.115384615384613,34.13461538461539,12.01923076923077,False,0,QA item,percentile,0.95,20000,20260724
