group_type,group,n
dimension,event_existence,219
dimension,event_count,300
dimension,reappear_identity,23
dimension,reappear_or_disappear,134
dimension,cross_object_order,187
dimension,event_ordering,105
dimension,temporal_location,587
dimension,duration_category,312
dimension,conditional_state,278
dimension,relative_spatial_change,178
format,mcq_4,1355
format,sp,563
format,numerical,300
format,ordering_3,52
format,ordering_4,53
tier,tier1,1296
tier,tier2,562
tier,tier3,465
hallucination,variant_a,208
hallucination,variant_b,285
hallucination,none,1830
